,Description,cluster_agg
0,WHITE HANGING HEART T-LIGHT HOLDER,heart
1,WHITE METAL LANTERN,metal
2,CREAM CUPID HEARTS COAT HANGER,cream
3,KNITTED UNION FLAG HOT WATER BOTTLE,flag
4,RED WOOLLY HOTTIE WHITE HEART.,heart
5,SET 7 BABUSHKA NESTING BOXES,box
6,GLASS STAR FROSTED T-LIGHT HOLDER,star
7,HAND WARMER UNION JACK,hand
8,HAND WARMER RED POLKA DOT,hand
9,ASSORTED COLOUR BIRD ORNAMENT,colour
10,POPPY'S PLAYHOUSE BEDROOM ,playhouse
11,POPPY'S PLAYHOUSE KITCHEN,kitchen
12,FELTCRAFT PRINCESS CHARLOTTE DOLL,feltcraft
13,BOX OF 6 ASSORTED COLOUR TEASPOONS,colour
14,BOX OF VINTAGE JIGSAW BLOCKS ,jigsaw
15,BOX OF VINTAGE ALPHABET BLOCKS,alphabet
16,HOME BUILDING BLOCK WORD,home
17,LOVE BUILDING BLOCK WORD,love
18,RECIPE BOX WITH METAL HEART,recipe
19,JAM MAKING SET WITH JARS,jam
20,RED COAT RACK PARIS FASHION,fashion
21,YELLOW COAT RACK PARIS FASHION,coat
22,BLUE COAT RACK PARIS FASHION,coat
23,BATH BUILDING BLOCK WORD,bath
24,ALARM CLOCK BAKELIKE PINK,alarm
25,ALARM CLOCK BAKELIKE RED ,alarm
26,ALARM CLOCK BAKELIKE GREEN,alarm
27,PANDA AND BUNNIES STICKER SHEET,bunny
28,STARS GIFT TAPE ,gift
29,INFLATABLE POLITICAL GLOBE ,globe
30,VINTAGE HEADS AND TAILS CARD GAME ,vintage
31,SET/2 RED RETROSPOT TEA TOWELS ,retrospot
32,ROUND SNACK BOXES SET OF4 WOODLAND ,snack
33,CHARLOTTE BAG DOLLY GIRL DESIGN,design
34,RED TOADSTOOL LED NIGHT LIGHT,night
35, SET 2 TEA TOWELS I LOVE LONDON ,tea
36,VINTAGE SEASIDE JIGSAW PUZZLES,seaside
37,MINI JIGSAW CIRCUS PARADE ,parade
38,MINI JIGSAW SPACEBOY,spaceboy
39,MINI PAINT SET VINTAGE ,box
40,POSTAGE,postage
41,PAPER CHAIN KIT 50'S CHRISTMAS ,paper
42,RETRO COFFEE MUGS ASSORTED,coffee
43,SAVE THE PLANET MUG,water
44,VINTAGE BILLBOARD DRINK ME MUG,billboard
